Predator,Prey,Pred Mass,Prey Mass,ED_Predator,ED_Prey,EDi,Scenario
Hydromys_chrysogaster,Leggadina_lakedownensis,2.68106,1.243038,3.358475,6.135949,9.494424,CU
Hydromys_chrysogaster,Melomys_burtoni,2.68106,1.835691,3.358475,1.671773,5.030248,CU
Hydromys_chrysogaster,Melomys_capensis,2.68106,1.845098,3.358475,2.682134,6.040609,CU
Hydromys_chrysogaster,Melomys_cervinipes,2.68106,1.892095,3.358475,2.426693,5.7851680000000005,CU
Hydromys_chrysogaster,Mesembriomys_gouldii,2.68106,2.855216,3.358475,3.943606,7.302080999999999,CU
Hydromys_chrysogaster,Rattus_leucopus,2.68106,2.23477,3.358475,3.219455,6.57793,CU
Hydromys_chrysogaster,Rattus_sordidus,2.68106,2.197281,3.358475,1.966750,5.325225,CU
Hydromys_chrysogaster,Rattus_tunneyi,2.68106,2.093422,3.358475,3.183102,6.541577,CU
Hydromys_chrysogaster,Uromys_caudimaculatus,2.68106,2.783046,3.358475,2.875495,6.233969999999999,CU
Hydromys_chrysogaster,Zyzomys_argurus,2.68106,1.556303,3.358475,3.953751,7.312226,CU
Leggadina_lakedownensis,Pseudomys_delicatulus,1.243038,1.041393,6.135949,1.449030,7.584979000000001,CU
Leggadina_lakedownensis,Zyzomys_argurus,1.243038,1.556303,6.135949,3.953751,10.0897,CU
Melomys_burtoni,Leggadina_lakedownensis,1.835691,1.243038,1.671773,6.135949,7.807722,CU
Melomys_burtoni,Melomys_capensis,1.835691,1.845098,1.671773,2.682134,4.3539069999999995,CU
Melomys_burtoni,Melomys_cervinipes,1.835691,1.892095,1.671773,2.426693,4.098466,CU
Melomys_burtoni,Rattus_tunneyi,1.835691,2.093422,1.671773,3.183102,4.854875,CU
Melomys_burtoni,Zyzomys_argurus,1.835691,1.556303,1.671773,3.953751,5.625524,CU
Melomys_capensis,Leggadina_lakedownensis,1.845098,1.243038,2.682134,6.135949,8.818083,CU
Melomys_capensis,Melomys_burtoni,1.845098,1.835691,2.682134,1.671773,4.3539069999999995,CU
Melomys_capensis,Melomys_cervinipes,1.845098,1.892095,2.682134,2.426693,5.108827,CU
Melomys_capensis,Rattus_tunneyi,1.845098,2.093422,2.682134,3.183102,5.8652359999999994,CU
Melomys_capensis,Zyzomys_argurus,1.845098,1.556303,2.682134,3.953751,6.635885,CU
Melomys_cervinipes,Leggadina_lakedownensis,1.892095,1.243038,2.426693,6.135949,8.562642,CU
Melomys_cervinipes,Melomys_burtoni,1.892095,1.835691,2.426693,1.671773,4.098466,CU
Melomys_cervinipes,Melomys_capensis,1.892095,1.845098,2.426693,2.682134,5.108827,CU
Melomys_cervinipes,Rattus_sordidus,1.892095,2.197281,2.426693,1.966750,4.393443,CU
Melomys_cervinipes,Rattus_tunneyi,1.892095,2.093422,2.426693,3.183102,5.609795,CU
Melomys_cervinipes,Zyzomys_argurus,1.892095,1.556303,2.426693,3.953751,6.380444000000001,CU
