Predator,Prey,Pred Mass,Prey Mass,ED_Predator,ED_Prey,EDi,Scenario
Acinonyx_jubatus,Aepyceros_melampus,4.669317,4.72016,5.919435,13.768880,19.688315,CU
Acinonyx_jubatus,Nesotragus_moschatus,4.669317,3.812913,5.919435,10.153356,16.072791000000002,CU
Acinonyx_jubatus,Oreotragus_oreotragus,4.669317,4.11394,5.919435,10.333019,16.252454,CU
Acinonyx_jubatus,Ourebia_ourebi,4.669317,4.236789,5.919435,7.885399,13.804834,CU
Acinonyx_jubatus,Raphicerus_sharpei,4.669317,3.977719,5.919435,4.797050,10.716484999999999,CU
Acinonyx_jubatus,Sylvicapra_grimmia,4.669317,4.29003,5.919435,10.594300,16.513735,CU
Acinonyx_jubatus,Tragelaphus_scriptus,4.669317,4.63599,5.919435,3.877165,9.7966,CU
Acinonyx_jubatus,Pedetes_capensis,4.669317,3.498999,5.919435,32.356448,38.275883,CU
Acinonyx_jubatus,Heterohyrax_brucei,4.669317,3.419129,5.919435,23.346908,29.266343,CU
Acinonyx_jubatus,Acomys_spinosissimus,4.669317,1.423246,5.919435,8.256029,14.175464,CU
Acinonyx_jubatus,Aethomys_chrysophilus,4.669317,1.874482,5.919435,2.644589,8.564024,CU
Acinonyx_jubatus,Aethomys_namaquensis,4.669317,1.704151,5.919435,5.034771,10.954206,CU
Acinonyx_jubatus,Dasymys_incomtus,4.669317,1.955207,5.919435,3.918652,9.838087,CU
Acinonyx_jubatus,Gerbilliscus_leucogaster,4.669317,1.862131,5.919435,3.609300,9.528735000000001,CU
Acinonyx_jubatus,Gerbilliscus_validus,4.669317,2.032216,5.919435,3.624390,9.543825,CU
Acinonyx_jubatus,Grammomys_dolichurus,4.669317,1.614897,5.919435,2.046692,7.966127,CU
Acinonyx_jubatus,Lemniscomys_rosalia,4.669317,1.733999,5.919435,1.917848,7.837283,CU
Acinonyx_jubatus,Mastomys_natalensis,4.669317,1.561101,5.919435,2.011855,7.931290000000001,CU
Acinonyx_jubatus,Pelomys_fallax,4.669317,2.113943,5.919435,1.814512,7.733947,CU
Acinonyx_jubatus,Rattus_rattus,4.669317,2.251151,5.919435,1.880331,7.799766,CU
Acinonyx_jubatus,Thallomys_paedulcus,4.669317,1.905796,5.919435,2.026960,7.946395,CU
Acinonyx_jubatus,Lepus_victoriae,4.669317,3.243038,5.919435,2.580500,8.499935,CU
Acinonyx_jubatus,Parahyaena_brunnea,4.669317,4.50786,5.919435,6.378971,12.298406,CU
Acinonyx_jubatus,Proteles_cristata,4.669317,4,5.919435,11.070127,16.989562,CU
Acinonyx_jubatus,Caracal_caracal,4.669317,4.1383,5.919435,6.580669,12.500104,CU
Acinonyx_jubatus,Felis_silvestris,4.669317,3.740363,5.919435,1.865149,7.784584,CU
Acinonyx_jubatus,Leptailurus_serval,4.669317,4.079181,5.919435,10.085907,16.005342,CU
Acinonyx_jubatus,Panthera_pardus,4.669317,4.74036,5.919435,5.819712,11.739146999999999,CU
Acinonyx_jubatus,Canis_adustus,4.669317,4.01072,5.919435,9.204785,15.12422,CU
Acinonyx_jubatus,Lycaon_pictus,4.669317,4.343411,5.919435,5.806932,11.726367,CU
Acinonyx_jubatus,Chlorocebus_cynosuros,4.669317,3.599337,5.919435,3.128762,9.048197,CU
Acinonyx_jubatus,Chlorocebus_pygerythrus,4.669317,3.599337,5.919435,2.086570,8.006005,CU
Acinonyx_jubatus,Papio_kindae,4.669317,4.113943,5.919435,1.395498,7.314933,CU
Acinonyx_jubatus,Papio_ursinus,4.669317,4.446212,5.919435,2.961043,8.880478,CU
Acinonyx_jubatus,Cricetomys_gambianus,4.669317,3.104146,5.919435,9.909343,15.828778,CU
Acinonyx_jubatus,Saccostomus_campestris,4.669317,1.70927,5.919435,10.941226,16.860661,CU
Acinonyx_jubatus,Steatomys_pratensis,4.669317,1.681241,5.919435,3.057058,8.976493,CU
Acinonyx_jubatus,Elephantulus_brachyrhynchus,4.669317,1.676694,5.919435,12.864230,18.783665,CU
Acinonyx_jubatus,Petrodromus_tetradactylus,4.669317,2.273001,5.919435,25.002235,30.92167,CU
Acinonyx_jubatus,Fukomys_anselli,4.669317,1.934498,5.919435,2.099784,8.019219,CU
Acinonyx_jubatus,Thryonomys_gregorianus,4.669317,3.4325040000000002,5.919435,24.797201,30.716636,CU
Acinonyx_jubatus,Thryonomys_swinderianus,4.669317,3.502427,5.919435,24.797201,30.716636,CU
Acinonyx_jubatus,Hystrix_africaeaustralis,4.669317,4.174234,5.919435,9.281448,15.200883,CU
Acinonyx_jubatus,Orycteropus_afer,4.669317,4.71892,5.919435,97.668125,103.58756,CU
Acinonyx_jubatus,Smutsia_temminckii,4.669317,3.856118,5.919435,23.500702,29.420137,CU
Acinonyx_jubatus,Galago_moholi,4.669317,2.20412,5.919435,5.205618,11.125053000000001,CU
Acinonyx_jubatus,Otolemur_crassicaudatus,4.669317,3.176091,5.919435,8.107594,14.027029,CU
Acinonyx_jubatus,Heliosciurus_mutabilis,4.669317,2.591065,5.919435,9.096190,15.015625,CU
Acinonyx_jubatus,Paraxerus_cepapi,4.669317,2.255273,5.919435,4.197444,10.116879,CU
Acinonyx_jubatus,Crocidura_olivieri,4.669317,1.763428,5.919435,2.967580,8.887015,CU
Acinonyx_jubatus,Aonyx_capensis,4.669317,4.278749,5.919435,4.121272,10.040707000000001,CU
Acinonyx_jubatus,Hydrictis_maculicollis,4.669317,3.60206,5.919435,9.978818,15.898253,CU
Acinonyx_jubatus,Ictonyx_striatus,4.669317,3.113943,5.919435,8.761073,14.680508,CU
Acinonyx_jubatus,Mellivora_capensis,4.669317,3.929419,5.919435,25.426400,31.345835,CU
Acinonyx_jubatus,Poecilogale_albinucha,4.669317,2.531479,5.919435,8.761073,14.680508,CU
Acomys_spinosissimus,Aethomys_namaquensis,1.423246,1.704151,8.256029,5.034771,13.2908,CU
Acomys_spinosissimus,Grammomys_dolichurus,1.423246,1.614897,8.256029,2.046692,10.302721,CU
Acomys_spinosissimus,Lemniscomys_rosalia,1.423246,1.733999,8.256029,1.917848,10.173877,CU
Acomys_spinosissimus,Mastomys_natalensis,1.423246,1.561101,8.256029,2.011855,10.267884,CU
Acomys_spinosissimus,Mus_triton,1.423246,1.082785,8.256029,1.634944,9.890972999999999,CU
Acomys_spinosissimus,Dendromus_nyikae,1.423246,1.176091,8.256029,2.241489,10.497518,CU
Acomys_spinosissimus,Saccostomus_campestris,1.423246,1.70927,8.256029,10.941226,19.197255,CU
Acomys_spinosissimus,Steatomys_pratensis,1.423246,1.681241,8.256029,3.057058,11.313087,CU
Acomys_spinosissimus,Elephantulus_brachyrhynchus,1.423246,1.676694,8.256029,12.864230,21.120258999999997,CU
Acomys_spinosissimus,Graphiurus_microtis,1.423246,1.190332,8.256029,10.502804,18.758833,CU
Aethomys_chrysophilus,Acomys_spinosissimus,1.874482,1.423246,2.644589,8.256029,10.900618,CU
Aethomys_chrysophilus,Aethomys_namaquensis,1.874482,1.704151,2.644589,5.034771,7.67936,CU
Aethomys_chrysophilus,Dasymys_incomtus,1.874482,1.955207,2.644589,3.918652,6.563241,CU
Aethomys_chrysophilus,Gerbilliscus_leucogaster,1.874482,1.862131,2.644589,3.609300,6.253889,CU
Aethomys_chrysophilus,Gerbilliscus_validus,1.874482,2.032216,2.644589,3.624390,6.268979,CU
Aethomys_chrysophilus,Grammomys_dolichurus,1.874482,1.614897,2.644589,2.046692,4.691281,CU
Aethomys_chrysophilus,Lemniscomys_rosalia,1.874482,1.733999,2.644589,1.917848,4.562437,CU
Aethomys_chrysophilus,Mastomys_natalensis,1.874482,1.561101,2.644589,2.011855,4.6564440000000005,CU
Aethomys_chrysophilus,Mus_triton,1.874482,1.082785,2.644589,1.634944,4.279533,CU
Aethomys_chrysophilus,Pelomys_fallax,1.874482,2.113943,2.644589,1.814512,4.4591009999999995,CU
Aethomys_chrysophilus,Thallomys_paedulcus,1.874482,1.905796,2.644589,2.026960,4.671549,CU
Aethomys_chrysophilus,Dendromus_nyikae,1.874482,1.176091,2.644589,2.241489,4.8860779999999995,CU
Aethomys_chrysophilus,Saccostomus_campestris,1.874482,1.70927,2.644589,10.941226,13.585815,CU
Aethomys_chrysophilus,Steatomys_pratensis,1.874482,1.681241,2.644589,3.057058,5.7016469999999995,CU
Aethomys_chrysophilus,Elephantulus_brachyrhynchus,1.874482,1.676694,2.644589,12.864230,15.508818999999999,CU
Aethomys_chrysophilus,Graphiurus_microtis,1.874482,1.190332,2.644589,10.502804,13.147393,CU
Aethomys_chrysophilus,Fukomys_anselli,1.874482,1.934498,2.644589,2.099784,4.7443729999999995,CU
Aethomys_namaquensis,Acomys_spinosissimus,1.704151,1.423246,5.034771,8.256029,13.2908,CU
Aethomys_namaquensis,Aethomys_chrysophilus,1.704151,1.874482,5.034771,2.644589,7.67936,CU
Aethomys_namaquensis,Dasymys_incomtus,1.704151,1.955207,5.034771,3.918652,8.953423,CU
Aethomys_namaquensis,Gerbilliscus_leucogaster,1.704151,1.862131,5.034771,3.609300,8.644071,CU
Aethomys_namaquensis,Gerbilliscus_validus,1.704151,2.032216,5.034771,3.624390,8.659161000000001,CU
Aethomys_namaquensis,Grammomys_dolichurus,1.704151,1.614897,5.034771,2.046692,7.081463,CU
Aethomys_namaquensis,Lemniscomys_rosalia,1.704151,1.733999,5.034771,1.917848,6.952619,CU
Aethomys_namaquensis,Mastomys_natalensis,1.704151,1.561101,5.034771,2.011855,7.046626,CU
Aethomys_namaquensis,Mus_triton,1.704151,1.082785,5.034771,1.634944,6.669715,CU
Aethomys_namaquensis,Thallomys_paedulcus,1.704151,1.905796,5.034771,2.026960,7.061731,CU
Aethomys_namaquensis,Dendromus_nyikae,1.704151,1.176091,5.034771,2.241489,7.276260000000001,CU
Aethomys_namaquensis,Saccostomus_campestris,1.704151,1.70927,5.034771,10.941226,15.975997,CU
Aethomys_namaquensis,Steatomys_pratensis,1.704151,1.681241,5.034771,3.057058,8.091829,CU
Aethomys_namaquensis,Elephantulus_brachyrhynchus,1.704151,1.676694,5.034771,12.864230,17.899001,CU
Aethomys_namaquensis,Graphiurus_microtis,1.704151,1.190332,5.034771,10.502804,15.537575,CU
Aethomys_namaquensis,Fukomys_anselli,1.704151,1.934498,5.034771,2.099784,7.134555000000001,CU
Aonyx_capensis,Heliosciurus_mutabilis,4.278749,2.591065,4.121272,9.096190,13.217462000000001,CU
Aonyx_capensis,Paraxerus_cepapi,4.278749,2.255273,4.121272,4.197444,8.318716,CU
Aonyx_capensis,Acomys_spinosissimus,4.278749,1.423246,4.121272,8.256029,12.377301,CU
Aonyx_capensis,Aethomys_chrysophilus,4.278749,1.874482,4.121272,2.644589,6.765861,CU
Aonyx_capensis,Aethomys_namaquensis,4.278749,1.704151,4.121272,5.034771,9.156043,CU
Aonyx_capensis,Dasymys_incomtus,4.278749,1.955207,4.121272,3.918652,8.039924,CU
Aonyx_capensis,Gerbilliscus_leucogaster,4.278749,1.862131,4.121272,3.609300,7.7305720000000004,CU
Aonyx_capensis,Gerbilliscus_validus,4.278749,2.032216,4.121272,3.624390,7.745662,CU
Aonyx_capensis,Grammomys_dolichurus,4.278749,1.614897,4.121272,2.046692,6.1679640000000004,CU
Aonyx_capensis,Lemniscomys_rosalia,4.278749,1.733999,4.121272,1.917848,6.0391200000000005,CU
Aonyx_capensis,Mastomys_natalensis,4.278749,1.561101,4.121272,2.011855,6.133127,CU
Aonyx_capensis,Pelomys_fallax,4.278749,2.113943,4.121272,1.814512,5.935784,CU
Aonyx_capensis,Rattus_rattus,4.278749,2.251151,4.121272,1.880331,6.001603,CU
Aonyx_capensis,Thallomys_paedulcus,4.278749,1.905796,4.121272,2.026960,6.148232,CU
Aonyx_capensis,Heterohyrax_brucei,4.278749,3.419129,4.121272,23.346908,27.46818,CU
Aonyx_capensis,Cricetomys_gambianus,4.278749,3.104146,4.121272,9.909343,14.030615000000001,CU
Aonyx_capensis,Saccostomus_campestris,4.278749,1.70927,4.121272,10.941226,15.062498000000001,CU
Aonyx_capensis,Steatomys_pratensis,4.278749,1.681241,4.121272,3.057058,7.178330000000001,CU
Aonyx_capensis,Elephantulus_brachyrhynchus,4.278749,1.676694,4.121272,12.864230,16.985502,CU
Aonyx_capensis,Petrodromus_tetradactylus,4.278749,2.273001,4.121272,25.002235,29.123507,CU
Aonyx_capensis,Fukomys_anselli,4.278749,1.934498,4.121272,2.099784,6.221056000000001,CU
Aonyx_capensis,Lepus_victoriae,4.278749,3.243038,4.121272,2.580500,6.701772,CU
Aonyx_capensis,Thryonomys_gregorianus,4.278749,3.4325040000000002,4.121272,24.797201,28.918473000000002,CU
Aonyx_capensis,Thryonomys_swinderianus,4.278749,3.502427,4.121272,24.797201,28.918473000000002,CU
Aonyx_capensis,Nesotragus_moschatus,4.278749,3.812913,4.121272,10.153356,14.274628,CU
Aonyx_capensis,Oreotragus_oreotragus,4.278749,4.11394,4.121272,10.333019,14.454291000000001,CU
Aonyx_capensis,Ourebia_ourebi,4.278749,4.236789,4.121272,7.885399,12.006671,CU
Aonyx_capensis,Raphicerus_sharpei,4.278749,3.977719,4.121272,4.797050,8.918322,CU
Aonyx_capensis,Sylvicapra_grimmia,4.278749,4.29003,4.121272,10.594300,14.715572000000002,CU
Atilax_paludinosus,Acomys_spinosissimus,3.518514,1.423246,6.752187,8.256029,15.008216000000001,CU
Atilax_paludinosus,Aethomys_chrysophilus,3.518514,1.874482,6.752187,2.644589,9.396776,CU
Atilax_paludinosus,Aethomys_namaquensis,3.518514,1.704151,6.752187,5.034771,11.786958,CU
Atilax_paludinosus,Dasymys_incomtus,3.518514,1.955207,6.752187,3.918652,10.670839,CU
Atilax_paludinosus,Gerbilliscus_leucogaster,3.518514,1.862131,6.752187,3.609300,10.361487,CU
Atilax_paludinosus,Gerbilliscus_validus,3.518514,2.032216,6.752187,3.624390,10.376577000000001,CU
Atilax_paludinosus,Grammomys_dolichurus,3.518514,1.614897,6.752187,2.046692,8.798879,CU
Atilax_paludinosus,Lemniscomys_rosalia,3.518514,1.733999,6.752187,1.917848,8.670035,CU
Atilax_paludinosus,Mastomys_natalensis,3.518514,1.561101,6.752187,2.011855,8.764042,CU
Atilax_paludinosus,Pelomys_fallax,3.518514,2.113943,6.752187,1.814512,8.566699,CU
