i,j,PN,CU,RW
1,4,513,489,513
1,5,228,98,223
1,6,77,0,34
2,5,10,3,8
2,6,10,0,7
4,1,41,41,41
4,5,54,9,54
4,6,18,0,16
5,6,9,0,9
