Predator,Prey,Pred Mass,Prey Mass,Scenario
Canis_lupus,Lepus_arcticus,4.507631,3.643946,CU
Canis_lupus,Dicrostonyx_groenlandicus,4.507631,1.735599,CU
Canis_lupus,Lemmus_trimucronatus,4.507631,1.905796,CU
Canis_lupus,Vulpes_lagopus,4.507631,3.687324,CU
Gulo_gulo,Dicrostonyx_groenlandicus,4.230771,1.735599,CU
Gulo_gulo,Lemmus_trimucronatus,4.230771,1.905796,CU
Gulo_gulo,Lepus_arcticus,4.230771,3.643946,CU
Lontra_canadensis,Dicrostonyx_groenlandicus,3.907809,1.735599,CU
Lontra_canadensis,Lemmus_trimucronatus,3.907809,1.905796,CU
Lontra_canadensis,Lepus_arcticus,3.907809,3.643946,CU
Vulpes_lagopus,Lepus_arcticus,3.687324,3.643946,CU
Vulpes_lagopus,Dicrostonyx_groenlandicus,3.687324,1.735599,CU
Vulpes_lagopus,Lemmus_trimucronatus,3.687324,1.905796,CU
Canis_lupus,Lepus_arcticus,4.507631,3.643946,PN
Canis_lupus,Dicrostonyx_groenlandicus,4.507631,1.735599,PN
Canis_lupus,Lemmus_trimucronatus,4.507631,1.905796,PN
Canis_lupus,Vulpes_lagopus,4.507631,3.687324,PN
Canis_lupus,Vulpes_vulpes,4.507631,3.725765,PN
Gulo_gulo,Dicrostonyx_groenlandicus,4.230771,1.735599,PN
Gulo_gulo,Lemmus_trimucronatus,4.230771,1.905796,PN
Gulo_gulo,Lepus_arcticus,4.230771,3.643946,PN
Vulpes_lagopus,Lepus_arcticus,3.687324,3.643946,PN
Vulpes_lagopus,Dicrostonyx_groenlandicus,3.687324,1.735599,PN
Vulpes_lagopus,Lemmus_trimucronatus,3.687324,1.905796,PN
Vulpes_lagopus,Vulpes_vulpes,3.687324,3.725765,PN
Vulpes_vulpes,Lepus_arcticus,3.725765,3.643946,PN
Vulpes_vulpes,Dicrostonyx_groenlandicus,3.725765,1.735599,PN
Vulpes_vulpes,Lemmus_trimucronatus,3.725765,1.905796,PN
Vulpes_vulpes,Vulpes_lagopus,3.725765,3.687324,PN
Canis_lupus,Lepus_arcticus,4.507631,3.643946,RW
Canis_lupus,Dicrostonyx_groenlandicus,4.507631,1.735599,RW
Canis_lupus,Lemmus_trimucronatus,4.507631,1.905796,RW
Canis_lupus,Vulpes_lagopus,4.507631,3.687324,RW
Canis_lupus,Vulpes_vulpes,4.507631,3.725765,RW
Gulo_gulo,Dicrostonyx_groenlandicus,4.230771,1.735599,RW
Gulo_gulo,Lemmus_trimucronatus,4.230771,1.905796,RW
Gulo_gulo,Lepus_arcticus,4.230771,3.643946,RW
Vulpes_lagopus,Lepus_arcticus,3.687324,3.643946,RW
Vulpes_lagopus,Dicrostonyx_groenlandicus,3.687324,1.735599,RW
Vulpes_lagopus,Lemmus_trimucronatus,3.687324,1.905796,RW
Vulpes_lagopus,Vulpes_vulpes,3.687324,3.725765,RW
Vulpes_vulpes,Lepus_arcticus,3.725765,3.643946,RW
Vulpes_vulpes,Dicrostonyx_groenlandicus,3.725765,1.735599,RW
Vulpes_vulpes,Lemmus_trimucronatus,3.725765,1.905796,RW
Vulpes_vulpes,Vulpes_lagopus,3.725765,3.687324,RW
