Predator,Prey,Pred Mass,Prey Mass,Scenario
Aonyx_capensis,Epixerus_ebii,4.278749,2.772322,CU
Aonyx_capensis,Funisciurus_pyrropus,4.278749,2.472756,CU
Aonyx_capensis,Heliosciurus_punctatus,4.278749,2.240549,CU
Aonyx_capensis,Heliosciurus_rufobrachium,4.278749,2.569959,CU
Aonyx_capensis,Paraxerus_poensis,4.278749,2.095169,CU
Aonyx_capensis,Protoxerus_aubinnii,4.278749,2.544068,CU
Aonyx_capensis,Protoxerus_stangeri,4.278749,2.793441,CU
Aonyx_capensis,Xerus_erythropus,4.278749,2.70105,CU
Aonyx_capensis,Arvicanthis_rufinus,4.278749,2.158664,CU
Aonyx_capensis,Dasymys_rufulus,4.278749,1.945961,CU
Aonyx_capensis,Dephomys_defua,4.278749,1.634477,CU
Aonyx_capensis,Gerbilliscus_kempi,4.278749,2.004321,CU
Aonyx_capensis,Grammomys_buntingi,4.278749,1.592177,CU
Aonyx_capensis,Hybomys_planifrons,4.278749,1.695482,CU
Aonyx_capensis,Hybomys_trivirgatus,4.278749,1.755112,CU
Aonyx_capensis,Lemniscomys_striatus,4.278749,1.619093,CU
Aonyx_capensis,Lophuromys_sikapusi,4.278749,1.869818,CU
Aonyx_capensis,Malacomys_edwardsi,4.278749,1.812913,CU
Aonyx_capensis,Mastomys_erythroleucus,4.278749,1.667453,CU
Aonyx_capensis,Mastomys_natalensis,4.278749,1.561101,CU
Aonyx_capensis,Praomys_rostratus,4.278749,1.611723,CU
Aonyx_capensis,Praomys_tullbergi,4.278749,1.553883,CU
Aonyx_capensis,Rattus_rattus,4.278749,2.251151,CU
Aonyx_capensis,Uranomys_ruddi,4.278749,1.606381,CU
Aonyx_capensis,Dendrohyrax_dorsalis,4.278749,3.501744,CU
Aonyx_capensis,Cricetomys_emini,4.278749,3.113943,CU
Aonyx_capensis,Graphiurus_nagtglasii,4.278749,1.653213,CU
Aonyx_capensis,Thryonomys_swinderianus,4.278749,3.502427,CU
Aonyx_capensis,Cephalophus_dorsalis,4.278749,4.30103,CU
Aonyx_capensis,Cephalophus_niger,4.278749,4.30963,CU
Aonyx_capensis,Cephalophus_ogilbyi,4.278749,4.30103,CU
Aonyx_capensis,Cephalophus_zebra,4.278749,4.243041,CU
Aonyx_capensis,Neotragus_pygmaeus,4.278749,3.60206,CU
Aonyx_capensis,Philantomba_maxwellii,4.278749,4.079181,CU
Arvicanthis_rufinus,Dasymys_rufulus,2.158664,1.945961,CU
Arvicanthis_rufinus,Dephomys_defua,2.158664,1.634477,CU
Arvicanthis_rufinus,Gerbilliscus_kempi,2.158664,2.004321,CU
Arvicanthis_rufinus,Grammomys_buntingi,2.158664,1.592177,CU
Arvicanthis_rufinus,Hybomys_planifrons,2.158664,1.695482,CU
Arvicanthis_rufinus,Hybomys_trivirgatus,2.158664,1.755112,CU
Arvicanthis_rufinus,Hylomyscus_alleni,2.158664,1.271842,CU
Arvicanthis_rufinus,Lemniscomys_striatus,2.158664,1.619093,CU
Arvicanthis_rufinus,Lophuromys_sikapusi,2.158664,1.869818,CU
Arvicanthis_rufinus,Malacomys_edwardsi,2.158664,1.812913,CU
Arvicanthis_rufinus,Mastomys_erythroleucus,2.158664,1.667453,CU
Arvicanthis_rufinus,Mastomys_natalensis,2.158664,1.561101,CU
Arvicanthis_rufinus,Praomys_rostratus,2.158664,1.611723,CU
Arvicanthis_rufinus,Praomys_tullbergi,2.158664,1.553883,CU
Arvicanthis_rufinus,Rattus_rattus,2.158664,2.251151,CU
Arvicanthis_rufinus,Uranomys_ruddi,2.158664,1.606381,CU
Arvicanthis_rufinus,Graphiurus_lorraineus,2.158664,1.225309,CU
Arvicanthis_rufinus,Graphiurus_nagtglasii,2.158664,1.653213,CU
Atilax_paludinosus,Arvicanthis_rufinus,3.518514,2.158664,CU
Atilax_paludinosus,Dasymys_rufulus,3.518514,1.945961,CU
Atilax_paludinosus,Dephomys_defua,3.518514,1.634477,CU
Atilax_paludinosus,Gerbilliscus_kempi,3.518514,2.004321,CU
Atilax_paludinosus,Grammomys_buntingi,3.518514,1.592177,CU
Atilax_paludinosus,Hybomys_planifrons,3.518514,1.695482,CU
Atilax_paludinosus,Hybomys_trivirgatus,3.518514,1.755112,CU
Atilax_paludinosus,Hylomyscus_alleni,3.518514,1.271842,CU
Atilax_paludinosus,Lemniscomys_striatus,3.518514,1.619093,CU
Atilax_paludinosus,Lophuromys_sikapusi,3.518514,1.869818,CU
Atilax_paludinosus,Malacomys_edwardsi,3.518514,1.812913,CU
Atilax_paludinosus,Mastomys_erythroleucus,3.518514,1.667453,CU
Atilax_paludinosus,Mastomys_natalensis,3.518514,1.561101,CU
Atilax_paludinosus,Praomys_rostratus,3.518514,1.611723,CU
Atilax_paludinosus,Praomys_tullbergi,3.518514,1.553883,CU
Atilax_paludinosus,Rattus_rattus,3.518514,2.251151,CU
Atilax_paludinosus,Uranomys_ruddi,3.518514,1.606381,CU
Atilax_paludinosus,Dendrohyrax_dorsalis,3.518514,3.501744,CU
Atilax_paludinosus,Cricetomys_emini,3.518514,3.113943,CU
Atilax_paludinosus,Graphiurus_lorraineus,3.518514,1.225309,CU
Atilax_paludinosus,Graphiurus_nagtglasii,3.518514,1.653213,CU
Atilax_paludinosus,Thryonomys_swinderianus,3.518514,3.502427,CU
Atilax_paludinosus,Epixerus_ebii,3.518514,2.772322,CU
Atilax_paludinosus,Funisciurus_pyrropus,3.518514,2.472756,CU
Atilax_paludinosus,Heliosciurus_punctatus,3.518514,2.240549,CU
Atilax_paludinosus,Heliosciurus_rufobrachium,3.518514,2.569959,CU
Atilax_paludinosus,Paraxerus_poensis,3.518514,2.095169,CU
Atilax_paludinosus,Protoxerus_aubinnii,3.518514,2.544068,CU
Atilax_paludinosus,Protoxerus_stangeri,3.518514,2.793441,CU
Atilax_paludinosus,Xerus_erythropus,3.518514,2.70105,CU
Caracal_aurata,Neotragus_pygmaeus,4.02735,3.60206,CU
Caracal_aurata,Philantomba_maxwellii,4.02735,4.079181,CU
Caracal_aurata,Dendrohyrax_dorsalis,4.02735,3.501744,CU
Caracal_aurata,Arvicanthis_rufinus,4.02735,2.158664,CU
Caracal_aurata,Dasymys_rufulus,4.02735,1.945961,CU
Caracal_aurata,Dephomys_defua,4.02735,1.634477,CU
Caracal_aurata,Gerbilliscus_kempi,4.02735,2.004321,CU
Caracal_aurata,Grammomys_buntingi,4.02735,1.592177,CU
Caracal_aurata,Hybomys_planifrons,4.02735,1.695482,CU
Caracal_aurata,Hybomys_trivirgatus,4.02735,1.755112,CU
Caracal_aurata,Hylomyscus_alleni,4.02735,1.271842,CU
Caracal_aurata,Lemniscomys_striatus,4.02735,1.619093,CU
Caracal_aurata,Lophuromys_sikapusi,4.02735,1.869818,CU
Caracal_aurata,Malacomys_edwardsi,4.02735,1.812913,CU
