Predator,Prey,Pred Mass,Prey Mass,Scenario
Galictis_cuja,Abrothrix_longipilis,3,1.575188,CU
Galictis_cuja,Abrothrix_olivaceus,3,1.431364,CU
Galictis_cuja,Abrothrix_sanborni,3,1.392697,CU
Galictis_cuja,Akodon_iniscatus,3,1.457882,CU
Galictis_cuja,Chelemys_macronyx,3,1.865104,CU
Galictis_cuja,Eligmodontia_morgani,3,1.217484,CU
Galictis_cuja,Eligmodontia_typus,3,1.238046,CU
Galictis_cuja,Euneomys_mordax,3,1.913814,CU
Galictis_cuja,Euneomys_petersoni,3,1.919078,CU
Galictis_cuja,Geoxus_valdivianus,3,1.498311,CU
Galictis_cuja,Irenomys_tarsalis,3,1.635484,CU
Galictis_cuja,Loxodontomys_micropus,3,1.861534,CU
Galictis_cuja,Notiomys_edwardsii,3,1.32838,CU
Galictis_cuja,Oligoryzomys_longicaudatus,3,1.431364,CU
Galictis_cuja,Phyllotis_xanthopygus,3,1.750508,CU
Galictis_cuja,Reithrodon_auritus,3,1.850646,CU
Leopardus_colocolo,Leopardus_geoffroyi,3.594945,3.555094,CU
Leopardus_colocolo,Leopardus_guigna,3.594945,3.348305,CU
Leopardus_colocolo,Lycalopex_fulvipes,3.594945,3.452936,CU
Leopardus_colocolo,Abrothrix_longipilis,3.594945,1.575188,CU
Leopardus_colocolo,Abrothrix_olivaceus,3.594945,1.431364,CU
Leopardus_colocolo,Abrothrix_sanborni,3.594945,1.392697,CU
Leopardus_colocolo,Akodon_iniscatus,3.594945,1.457882,CU
Leopardus_colocolo,Chelemys_macronyx,3.594945,1.865104,CU
Leopardus_colocolo,Eligmodontia_typus,3.594945,1.238046,CU
Leopardus_colocolo,Euneomys_mordax,3.594945,1.913814,CU
Leopardus_colocolo,Euneomys_petersoni,3.594945,1.919078,CU
Leopardus_colocolo,Geoxus_valdivianus,3.594945,1.498311,CU
Leopardus_colocolo,Irenomys_tarsalis,3.594945,1.635484,CU
Leopardus_colocolo,Loxodontomys_micropus,3.594945,1.861534,CU
Leopardus_colocolo,Notiomys_edwardsii,3.594945,1.32838,CU
Leopardus_colocolo,Oligoryzomys_longicaudatus,3.594945,1.431364,CU
Leopardus_colocolo,Phyllotis_xanthopygus,3.594945,1.750508,CU
Leopardus_colocolo,Reithrodon_auritus,3.594945,1.850646,CU
Leopardus_colocolo,Galictis_cuja,3.594945,3,CU
Leopardus_colocolo,Lyncodon_patagonicus,3.594945,2.352183,CU
Leopardus_geoffroyi,Leopardus_colocolo,3.555094,3.594945,CU
Leopardus_geoffroyi,Leopardus_guigna,3.555094,3.348305,CU
Leopardus_geoffroyi,Lycalopex_fulvipes,3.555094,3.452936,CU
Leopardus_geoffroyi,Abrothrix_longipilis,3.555094,1.575188,CU
Leopardus_geoffroyi,Abrothrix_olivaceus,3.555094,1.431364,CU
Leopardus_geoffroyi,Abrothrix_sanborni,3.555094,1.392697,CU
Leopardus_geoffroyi,Akodon_iniscatus,3.555094,1.457882,CU
Leopardus_geoffroyi,Chelemys_macronyx,3.555094,1.865104,CU
Leopardus_geoffroyi,Eligmodontia_typus,3.555094,1.238046,CU
Leopardus_geoffroyi,Euneomys_mordax,3.555094,1.913814,CU
Leopardus_geoffroyi,Euneomys_petersoni,3.555094,1.919078,CU
Leopardus_geoffroyi,Geoxus_valdivianus,3.555094,1.498311,CU
Leopardus_geoffroyi,Irenomys_tarsalis,3.555094,1.635484,CU
Leopardus_geoffroyi,Loxodontomys_micropus,3.555094,1.861534,CU
Leopardus_geoffroyi,Notiomys_edwardsii,3.555094,1.32838,CU
Leopardus_geoffroyi,Oligoryzomys_longicaudatus,3.555094,1.431364,CU
Leopardus_geoffroyi,Phyllotis_xanthopygus,3.555094,1.750508,CU
Leopardus_geoffroyi,Reithrodon_auritus,3.555094,1.850646,CU
Leopardus_geoffroyi,Galictis_cuja,3.555094,3,CU
Leopardus_geoffroyi,Lyncodon_patagonicus,3.555094,2.352183,CU
Leopardus_guigna,Lycalopex_fulvipes,3.348305,3.452936,CU
Leopardus_guigna,Abrothrix_longipilis,3.348305,1.575188,CU
Leopardus_guigna,Abrothrix_olivaceus,3.348305,1.431364,CU
Leopardus_guigna,Abrothrix_sanborni,3.348305,1.392697,CU
Leopardus_guigna,Akodon_iniscatus,3.348305,1.457882,CU
Leopardus_guigna,Chelemys_macronyx,3.348305,1.865104,CU
Leopardus_guigna,Eligmodontia_morgani,3.348305,1.217484,CU
Leopardus_guigna,Eligmodontia_typus,3.348305,1.238046,CU
Leopardus_guigna,Euneomys_mordax,3.348305,1.913814,CU
Leopardus_guigna,Euneomys_petersoni,3.348305,1.919078,CU
Leopardus_guigna,Geoxus_valdivianus,3.348305,1.498311,CU
Leopardus_guigna,Irenomys_tarsalis,3.348305,1.635484,CU
Leopardus_guigna,Loxodontomys_micropus,3.348305,1.861534,CU
Leopardus_guigna,Notiomys_edwardsii,3.348305,1.32838,CU
Leopardus_guigna,Oligoryzomys_longicaudatus,3.348305,1.431364,CU
Leopardus_guigna,Phyllotis_xanthopygus,3.348305,1.750508,CU
Leopardus_guigna,Reithrodon_auritus,3.348305,1.850646,CU
Leopardus_guigna,Galictis_cuja,3.348305,3,CU
Leopardus_guigna,Lyncodon_patagonicus,3.348305,2.352183,CU
Lontra_felina,Abrothrix_longipilis,4.485721,1.575188,CU
Lontra_felina,Abrothrix_olivaceus,4.485721,1.431364,CU
Lontra_felina,Abrothrix_sanborni,4.485721,1.392697,CU
Lontra_felina,Akodon_iniscatus,4.485721,1.457882,CU
Lontra_felina,Chelemys_macronyx,4.485721,1.865104,CU
Lontra_felina,Euneomys_mordax,4.485721,1.913814,CU
Lontra_felina,Euneomys_petersoni,4.485721,1.919078,CU
Lontra_felina,Geoxus_valdivianus,4.485721,1.498311,CU
Lontra_felina,Irenomys_tarsalis,4.485721,1.635484,CU
Lontra_felina,Loxodontomys_micropus,4.485721,1.861534,CU
Lontra_felina,Notiomys_edwardsii,4.485721,1.32838,CU
Lontra_felina,Oligoryzomys_longicaudatus,4.485721,1.431364,CU
Lontra_felina,Phyllotis_xanthopygus,4.485721,1.750508,CU
Lontra_felina,Reithrodon_auritus,4.485721,1.850646,CU
Lontra_felina,Pudu_puda,4.485721,3.989,CU
Lontra_provocax,Abrothrix_longipilis,3.875061,1.575188,CU
Lontra_provocax,Abrothrix_olivaceus,3.875061,1.431364,CU
Lontra_provocax,Abrothrix_sanborni,3.875061,1.392697,CU
Lontra_provocax,Akodon_iniscatus,3.875061,1.457882,CU
Lontra_provocax,Chelemys_macronyx,3.875061,1.865104,CU
Lontra_provocax,Euneomys_mordax,3.875061,1.913814,CU
Lontra_provocax,Euneomys_petersoni,3.875061,1.919078,CU
Lontra_provocax,Geoxus_valdivianus,3.875061,1.498311,CU
Lontra_provocax,Irenomys_tarsalis,3.875061,1.635484,CU
Lontra_provocax,Loxodontomys_micropus,3.875061,1.861534,CU
Lontra_provocax,Notiomys_edwardsii,3.875061,1.32838,CU
Lontra_provocax,Oligoryzomys_longicaudatus,3.875061,1.431364,CU
Lontra_provocax,Phyllotis_xanthopygus,3.875061,1.750508,CU
Lontra_provocax,Reithrodon_auritus,3.875061,1.850646,CU
Lontra_provocax,Pudu_puda,3.875061,3.989,CU
Lycalopex_culpaeus,Pudu_puda,3.99266,3.989,CU
