i,j,PN,CU,RW
1,2,12,13,12
1,4,585,597,585
1,5,27,28,27
1,6,35,36,36
2,6,2,2,2
4,1,94,101,94
4,2,7,7,7
4,5,14,14,14
4,6,29,28,29
5,6,2,1,1
