i,j,PN,CU,RW
1,4,558,582,558
1,5,192,166,188
1,6,54,0,33
2,5,9,7,7
2,6,7,0,4
4,1,31,33,31
4,5,42,32,42
4,6,14,0,14
5,6,7,0,7
