i,j,PN,CU,RW
1,2,10,10,10
1,4,398,378,398
1,5,59,57,59
1,6,9,8,9
2,6,2,2,2
4,1,9,10,9
4,2,1,1,1
4,5,28,26,28
4,6,1,1,1
