i,j,PN,CU,RW
1,2,15,13,15
1,4,281,258,281
1,5,68,46,68
1,6,19,17,19
2,6,5,4,5
4,1,7,6,7
4,2,1,1,1
4,5,32,31,32
4,6,19,19,19
5,6,4,3,4
