i,j,PN,CU,RW
1,4,573,573,573
1,5,222,217,217
1,6,74,31,31
2,5,9,7,7
2,6,8,5,5
4,1,22,22,22
4,5,46,46,46
4,6,15,15,15
5,6,8,8,8
