i,j,PN,CU,RW
1,2,10,8,10
1,4,112,85,112
1,5,61,21,61
1,6,14,12,14
2,6,5,3,5
4,1,10,8,10
4,2,2,2,2
4,5,37,13,37
4,6,12,11,12
5,6,5,2,5
