i,j,PN,CU,RW
1,2,8,9,8
1,4,245,231,233
1,5,49,21,47
1,6,44,4,4
2,5,1,0,1
2,6,16,1,2
4,1,5,7,5
4,2,1,1,1
4,5,22,6,22
4,6,26,0,0
5,6,6,0,0
