i,j,PN,CU,RW
1,2,7,8,7
1,4,259,232,244
1,5,44,0,42
1,6,42,0,4
2,6,12,0,1
4,1,5,7,5
4,2,1,1,1
4,5,29,0,29
4,6,36,0,0
5,6,6,0,0
