i,j,PN,CU,RW
1,2,17,16,17
1,4,815,766,815
1,5,69,62,69
1,6,40,37,40
2,5,2,1,2
2,6,5,4,5
4,5,35,35,35
4,6,25,25,25
5,6,1,1,1
