Predator,Prey,Pred Mass,Prey Mass,Scenario
Aonyx_capensis,Xerus_erythropus,4.278749,2.70105,CU
Aonyx_capensis,Arvicanthis_ansorgei,4.278749,2.054996,CU
Aonyx_capensis,Arvicanthis_niloticus,4.278749,2.028978,CU
Aonyx_capensis,Gerbilliscus_gambiana,4.278749,2.058805,CU
Aonyx_capensis,Gerbilliscus_guineae,4.278749,2.010724,CU
Aonyx_capensis,Gerbilliscus_kempi,4.278749,2.004321,CU
Aonyx_capensis,Lemniscomys_linulus,4.278749,1.431364,CU
Aonyx_capensis,Lemniscomys_zebra,4.278749,1.557507,CU
Aonyx_capensis,Mastomys_erythroleucus,4.278749,1.667453,CU
Aonyx_capensis,Mastomys_huberti,4.278749,1.742725,CU
Aonyx_capensis,Mastomys_natalensis,4.278749,1.561101,CU
Aonyx_capensis,Praomys_daltoni,4.278749,1.585461,CU
Aonyx_capensis,Taterillus_gracilis,4.278749,1.681241,CU
Aonyx_capensis,Uranomys_ruddi,4.278749,1.606381,CU
Aonyx_capensis,Procavia_capensis,4.278749,3.481443,CU
Aonyx_capensis,Cricetomys_gambianus,4.278749,3.104146,CU
Aonyx_capensis,Steatomys_caurinus,4.278749,1.651278,CU
Aonyx_capensis,Lepus_victoriae,4.278749,3.243038,CU
Aonyx_capensis,Thryonomys_swinderianus,4.278749,3.502427,CU
Aonyx_capensis,Atelerix_albiventris,4.278749,2.778151,CU
Aonyx_capensis,Cephalophus_rufilatus,4.278749,4.079181,CU
Aonyx_capensis,Ourebia_ourebi,4.278749,4.236789,CU
Aonyx_capensis,Sylvicapra_grimmia,4.278749,4.29003,CU
Arvicanthis_ansorgei,Arvicanthis_niloticus,2.054996,2.028978,CU
Arvicanthis_ansorgei,Gerbilliscus_gambiana,2.054996,2.058805,CU
Arvicanthis_ansorgei,Gerbilliscus_guineae,2.054996,2.010724,CU
Arvicanthis_ansorgei,Gerbilliscus_kempi,2.054996,2.004321,CU
Arvicanthis_ansorgei,Lemniscomys_linulus,2.054996,1.431364,CU
Arvicanthis_ansorgei,Lemniscomys_zebra,2.054996,1.557507,CU
Arvicanthis_ansorgei,Mastomys_erythroleucus,2.054996,1.667453,CU
Arvicanthis_ansorgei,Mastomys_huberti,2.054996,1.742725,CU
Arvicanthis_ansorgei,Mastomys_natalensis,2.054996,1.561101,CU
Arvicanthis_ansorgei,Praomys_daltoni,2.054996,1.585461,CU
Arvicanthis_ansorgei,Taterillus_gracilis,2.054996,1.681241,CU
Arvicanthis_ansorgei,Uranomys_ruddi,2.054996,1.606381,CU
Arvicanthis_ansorgei,Steatomys_caurinus,2.054996,1.651278,CU
Arvicanthis_ansorgei,Steatomys_cuppedius,2.054996,1.209515,CU
Arvicanthis_niloticus,Arvicanthis_ansorgei,2.028978,2.054996,CU
Arvicanthis_niloticus,Gerbilliscus_gambiana,2.028978,2.058805,CU
Arvicanthis_niloticus,Gerbilliscus_guineae,2.028978,2.010724,CU
Arvicanthis_niloticus,Gerbilliscus_kempi,2.028978,2.004321,CU
Arvicanthis_niloticus,Lemniscomys_linulus,2.028978,1.431364,CU
Arvicanthis_niloticus,Lemniscomys_zebra,2.028978,1.557507,CU
Arvicanthis_niloticus,Mastomys_erythroleucus,2.028978,1.667453,CU
Arvicanthis_niloticus,Mastomys_huberti,2.028978,1.742725,CU
Arvicanthis_niloticus,Mastomys_natalensis,2.028978,1.561101,CU
Arvicanthis_niloticus,Praomys_daltoni,2.028978,1.585461,CU
Arvicanthis_niloticus,Taterillus_gracilis,2.028978,1.681241,CU
Arvicanthis_niloticus,Uranomys_ruddi,2.028978,1.606381,CU
Arvicanthis_niloticus,Steatomys_caurinus,2.028978,1.651278,CU
Arvicanthis_niloticus,Steatomys_cuppedius,2.028978,1.209515,CU
Atelerix_albiventris,Arvicanthis_ansorgei,2.778151,2.054996,CU
Atelerix_albiventris,Arvicanthis_niloticus,2.778151,2.028978,CU
Atelerix_albiventris,Gerbilliscus_gambiana,2.778151,2.058805,CU
Atelerix_albiventris,Gerbilliscus_guineae,2.778151,2.010724,CU
Atelerix_albiventris,Gerbilliscus_kempi,2.778151,2.004321,CU
Atelerix_albiventris,Lemniscomys_linulus,2.778151,1.431364,CU
Atelerix_albiventris,Lemniscomys_zebra,2.778151,1.557507,CU
Atelerix_albiventris,Mastomys_erythroleucus,2.778151,1.667453,CU
Atelerix_albiventris,Mastomys_huberti,2.778151,1.742725,CU
Atelerix_albiventris,Mastomys_natalensis,2.778151,1.561101,CU
Atelerix_albiventris,Praomys_daltoni,2.778151,1.585461,CU
Atelerix_albiventris,Taterillus_gracilis,2.778151,1.681241,CU
Atelerix_albiventris,Uranomys_ruddi,2.778151,1.606381,CU
Atelerix_albiventris,Steatomys_caurinus,2.778151,1.651278,CU
Atelerix_albiventris,Steatomys_cuppedius,2.778151,1.209515,CU
Atilax_paludinosus,Arvicanthis_ansorgei,3.518514,2.054996,CU
Atilax_paludinosus,Arvicanthis_niloticus,3.518514,2.028978,CU
Atilax_paludinosus,Gerbilliscus_gambiana,3.518514,2.058805,CU
Atilax_paludinosus,Gerbilliscus_guineae,3.518514,2.010724,CU
Atilax_paludinosus,Gerbilliscus_kempi,3.518514,2.004321,CU
Atilax_paludinosus,Lemniscomys_linulus,3.518514,1.431364,CU
Atilax_paludinosus,Lemniscomys_zebra,3.518514,1.557507,CU
Atilax_paludinosus,Mastomys_erythroleucus,3.518514,1.667453,CU
Atilax_paludinosus,Mastomys_huberti,3.518514,1.742725,CU
Atilax_paludinosus,Mastomys_natalensis,3.518514,1.561101,CU
Atilax_paludinosus,Praomys_daltoni,3.518514,1.585461,CU
Atilax_paludinosus,Taterillus_gracilis,3.518514,1.681241,CU
Atilax_paludinosus,Uranomys_ruddi,3.518514,1.606381,CU
Atilax_paludinosus,Procavia_capensis,3.518514,3.481443,CU
Atilax_paludinosus,Lepus_victoriae,3.518514,3.243038,CU
Atilax_paludinosus,Cricetomys_gambianus,3.518514,3.104146,CU
Atilax_paludinosus,Steatomys_caurinus,3.518514,1.651278,CU
Atilax_paludinosus,Thryonomys_swinderianus,3.518514,3.502427,CU
Atilax_paludinosus,Xerus_erythropus,3.518514,2.70105,CU
Canis_adustus,Cephalophus_rufilatus,4.01072,4.079181,CU
Canis_adustus,Xerus_erythropus,4.01072,2.70105,CU
Canis_adustus,Arvicanthis_ansorgei,4.01072,2.054996,CU
Canis_adustus,Arvicanthis_niloticus,4.01072,2.028978,CU
Canis_adustus,Gerbilliscus_gambiana,4.01072,2.058805,CU
Canis_adustus,Gerbilliscus_guineae,4.01072,2.010724,CU
Canis_adustus,Gerbilliscus_kempi,4.01072,2.004321,CU
Canis_adustus,Lemniscomys_linulus,4.01072,1.431364,CU
Canis_adustus,Lemniscomys_zebra,4.01072,1.557507,CU
Canis_adustus,Mastomys_erythroleucus,4.01072,1.667453,CU
Canis_adustus,Mastomys_huberti,4.01072,1.742725,CU
Canis_adustus,Mastomys_natalensis,4.01072,1.561101,CU
