i,j,PN,CU,RW
1,4,584,584,584
1,5,240,235,235
1,6,77,34,34
2,5,9,7,7
2,6,9,6,6
4,1,46,46,46
4,5,50,50,50
4,6,17,15,15
5,6,8,8,8
