i,j,PN,CU,RW
1,4,998,1025,998
1,5,320,323,316
1,6,121,55,54
2,5,14,10,10
2,6,11,6,7
4,1,113,117,113
4,5,65,65,65
4,6,22,18,18
5,6,7,7,7
