i,j,PN,CU,RW
1,2,17,17,17
1,4,494,454,494
1,5,54,54,54
1,6,35,25,35
2,5,2,1,1
2,6,12,5,10
4,2,4,4,4
4,5,51,48,51
4,6,35,29,35
5,6,2,2,2
