i,j,PN,CU,RW
1,2,0,0,38
1,4,1197,1165,1197
1,5,459,463,454
1,6,141,65,64
2,5,12,8,8
2,6,10,5,6
4,1,243,250,243
4,2,0,0,2
4,5,95,92,95
4,6,26,20,21
5,6,9,9,9
