i,j,PN,CU,RW
1,2,6,5,6
1,4,116,82,116
1,5,68,12,68
1,6,15,0,15
2,6,5,0,4
4,1,5,4,5
4,2,1,1,1
4,5,38,2,38
4,6,12,0,12
5,6,5,0,5
