i,j,PN,CU,RW
1,4,444,444,444
1,5,180,176,176
1,6,69,30,30
2,5,10,8,8
2,6,8,4,5
4,1,37,37,37
4,5,44,44,44
4,6,16,14,14
5,6,8,8,8
