i,j,PN,CU,RW
1,2,3,0,3
1,4,53,47,53
1,5,17,0,17
1,6,1,0,1
2,5,4,0,3
2,6,4,0,3
4,1,1,1,1
4,2,1,0,1
4,5,20,0,20
