Predator,Prey,Pred Mass,Prey Mass,Scenario
Bandicota_bengalensis,Golunda_ellioti,2.275311,1.784617,CU
Bandicota_bengalensis,Millardia_meltada,2.275311,1.845098,CU
Bandicota_bengalensis,Mus_musculus,2.275311,1.206826,CU
Bandicota_bengalensis,Tatera_indica,2.275311,2.220892,CU
Bandicota_indica,Bandicota_bengalensis,2.857332,2.275311,CU
Bandicota_indica,Golunda_ellioti,2.857332,1.784617,CU
Bandicota_indica,Millardia_meltada,2.857332,1.845098,CU
Bandicota_indica,Mus_musculus,2.857332,1.206826,CU
Bandicota_indica,Tatera_indica,2.857332,2.220892,CU
Canis_aureus,Funambulus_pennantii,4.014739,1.996074,CU
Canis_aureus,Bandicota_bengalensis,4.014739,2.275311,CU
Canis_aureus,Bandicota_indica,4.014739,2.857332,CU
Canis_aureus,Golunda_ellioti,4.014739,1.784617,CU
Canis_aureus,Millardia_meltada,4.014739,1.845098,CU
Canis_aureus,Tatera_indica,4.014739,2.220892,CU
Canis_aureus,Lepus_nigricollis,4.014739,3.361445,CU
Canis_aureus,Hemiechinus_collaris,4.014739,2.149219,CU
Canis_aureus,Hystrix_indica,4.014739,4.094674,CU
Canis_aureus,Vulpes_bengalensis,4.014739,3.435526,CU
Canis_aureus,Vulpes_vulpes,4.014739,3.725765,CU
Canis_aureus,Felis_chaus,4.014739,3.868821,CU
Canis_aureus,Prionailurus_bengalensis,4.014739,3.518514,CU
Canis_aureus,Prionailurus_rubiginosus,4.014739,3.141262,CU
Felis_chaus,Bandicota_bengalensis,3.868821,2.275311,CU
Felis_chaus,Bandicota_indica,3.868821,2.857332,CU
Felis_chaus,Golunda_ellioti,3.868821,1.784617,CU
Felis_chaus,Millardia_meltada,3.868821,1.845098,CU
Felis_chaus,Tatera_indica,3.868821,2.220892,CU
Felis_chaus,Lepus_nigricollis,3.868821,3.361445,CU
Felis_chaus,Prionailurus_bengalensis,3.868821,3.518514,CU
Felis_chaus,Prionailurus_rubiginosus,3.868821,3.141262,CU
Felis_chaus,Canis_aureus,3.868821,4.014739,CU
Felis_chaus,Vulpes_bengalensis,3.868821,3.435526,CU
Felis_chaus,Vulpes_vulpes,3.868821,3.725765,CU
Felis_chaus,Macaca_mulatta,3.868821,3.569725,CU
Felis_chaus,Manis_crassicaudata,3.868821,3.927232,CU
Felis_chaus,Funambulus_pennantii,3.868821,1.996074,CU
