i,j,PN,CU,RW
1,2,11,12,11
1,4,582,540,582
1,5,61,49,62
1,6,35,35,36
2,6,2,2,2
4,1,85,91,85
4,2,6,6,6
4,5,43,35,43
4,6,28,26,28
5,6,3,1,2
