i,j,PN,CU,RW
1,2,0,0,35
1,4,1001,1027,1001
1,5,273,177,270
1,6,124,0,53
2,5,11,5,7
2,6,8,0,4
4,1,133,138,133
4,2,0,0,3
4,5,67,35,67
4,6,26,0,20
5,6,7,0,7
