i,j,PN,CU,RW
1,2,6,7,6
1,4,255,195,241
1,5,41,17,39
1,6,34,0,3
2,5,1,0,1
2,6,18,0,2
4,1,5,7,5
4,2,1,1,1
4,5,26,6,26
4,6,32,0,0
5,6,6,0,0
