Predator,Prey,Pred Mass,Prey Mass,Scenario
Apodemus_uralensis,Mus_musculus,1.232996,1.206826,CU
Canis_lupus,Marmota_bobak,4.507631,3.740363,CU
Canis_lupus,Spermophilus_erythrogenys,4.507631,2.550228,CU
Canis_lupus,Spermophilus_fulvus,4.507631,2.775246,CU
Canis_lupus,Rattus_norvegicus,4.507631,2.552303,CU
Canis_lupus,Lepus_europaeus,4.507631,3.572872,CU
Canis_lupus,Lepus_timidus,4.507631,3.484015,CU
Canis_lupus,Allocricetulus_eversmanni,4.507631,2.062958,CU
Canis_lupus,Alticola_strelzowi,4.507631,1.69897,CU
Canis_lupus,Arvicola_amphibius,4.507631,2.352183,CU
Canis_lupus,Cricetulus_migratorius,4.507631,1.585461,CU
Canis_lupus,Cricetus_cricetus,4.507631,2.70757,CU
Canis_lupus,Ellobius_talpinus,4.507631,1.60206,CU
Canis_lupus,Ellobius_tancrei,4.507631,1.80956,CU
Canis_lupus,Microtus_gregalis,4.507631,1.676694,CU
Canis_lupus,Microtus_socialis,4.507631,1.681241,CU
Canis_lupus,Myodes_rutilus,4.507631,1.450249,CU
Canis_lupus,Ondatra_zibethicus,4.507631,3.027635,CU
Canis_lupus,Phodopus_sungorus,4.507631,1.528917,CU
Canis_lupus,Erinaceus_roumanicus,4.507631,2.872156,CU
Canis_lupus,Hemiechinus_auritus,4.507631,2.534026,CU
Canis_lupus,Vulpes_corsac,4.507631,3.380211,CU
Canis_lupus,Vulpes_vulpes,4.507631,3.725765,CU
Canis_lupus,Otocolobus_manul,4.507631,3.544068,CU
Erinaceus_roumanicus,Apodemus_uralensis,2.872156,1.232996,CU
Erinaceus_roumanicus,Mus_musculus,2.872156,1.206826,CU
Erinaceus_roumanicus,Rattus_norvegicus,2.872156,2.552303,CU
Gulo_gulo,Marmota_bobak,4.230771,3.740363,CU
Gulo_gulo,Spermophilus_erythrogenys,4.230771,2.550228,CU
Gulo_gulo,Spermophilus_fulvus,4.230771,2.775246,CU
Gulo_gulo,Allocricetulus_eversmanni,4.230771,2.062958,CU
Gulo_gulo,Alticola_strelzowi,4.230771,1.69897,CU
Gulo_gulo,Arvicola_amphibius,4.230771,2.352183,CU
Gulo_gulo,Cricetulus_migratorius,4.230771,1.585461,CU
Gulo_gulo,Cricetus_cricetus,4.230771,2.70757,CU
Gulo_gulo,Ellobius_talpinus,4.230771,1.60206,CU
Gulo_gulo,Ellobius_tancrei,4.230771,1.80956,CU
Gulo_gulo,Lagurus_lagurus,4.230771,1.307496,CU
Gulo_gulo,Microtus_gregalis,4.230771,1.676694,CU
Gulo_gulo,Microtus_socialis,4.230771,1.681241,CU
Gulo_gulo,Myodes_rutilus,4.230771,1.450249,CU
Gulo_gulo,Ondatra_zibethicus,4.230771,3.027635,CU
Gulo_gulo,Phodopus_sungorus,4.230771,1.528917,CU
Gulo_gulo,Rattus_norvegicus,4.230771,2.552303,CU
Gulo_gulo,Lepus_europaeus,4.230771,3.572872,CU
Gulo_gulo,Lepus_timidus,4.230771,3.484015,CU
Gulo_gulo,Erinaceus_roumanicus,4.230771,2.872156,CU
Gulo_gulo,Hemiechinus_auritus,4.230771,2.534026,CU
Hemiechinus_auritus,Apodemus_uralensis,2.534026,1.232996,CU
Hemiechinus_auritus,Mus_musculus,2.534026,1.206826,CU
Hemiechinus_auritus,Rattus_norvegicus,2.534026,2.552303,CU
Lutra_lutra,Marmota_bobak,3.943747,3.740363,CU
Lutra_lutra,Spermophilus_erythrogenys,3.943747,2.550228,CU
Lutra_lutra,Spermophilus_fulvus,3.943747,2.775246,CU
Lutra_lutra,Allocricetulus_eversmanni,3.943747,2.062958,CU
Lutra_lutra,Alticola_strelzowi,3.943747,1.69897,CU
Lutra_lutra,Arvicola_amphibius,3.943747,2.352183,CU
Lutra_lutra,Cricetulus_migratorius,3.943747,1.585461,CU
Lutra_lutra,Cricetus_cricetus,3.943747,2.70757,CU
Lutra_lutra,Ellobius_talpinus,3.943747,1.60206,CU
Lutra_lutra,Ellobius_tancrei,3.943747,1.80956,CU
Lutra_lutra,Lagurus_lagurus,3.943747,1.307496,CU
Lutra_lutra,Microtus_gregalis,3.943747,1.676694,CU
Lutra_lutra,Microtus_socialis,3.943747,1.681241,CU
Lutra_lutra,Myodes_rutilus,3.943747,1.450249,CU
Lutra_lutra,Ondatra_zibethicus,3.943747,3.027635,CU
Lutra_lutra,Phodopus_sungorus,3.943747,1.528917,CU
Lutra_lutra,Rattus_norvegicus,3.943747,2.552303,CU
Lutra_lutra,Lepus_europaeus,3.943747,3.572872,CU
Lutra_lutra,Lepus_timidus,3.943747,3.484015,CU
Lutra_lutra,Erinaceus_roumanicus,3.943747,2.872156,CU
Lutra_lutra,Hemiechinus_auritus,3.943747,2.534026,CU
Meles_leucurus,Marmota_bobak,3.79588,3.740363,CU
Meles_leucurus,Spermophilus_erythrogenys,3.79588,2.550228,CU
Meles_leucurus,Spermophilus_fulvus,3.79588,2.775246,CU
Meles_leucurus,Allocricetulus_eversmanni,3.79588,2.062958,CU
Meles_leucurus,Alticola_strelzowi,3.79588,1.69897,CU
Meles_leucurus,Arvicola_amphibius,3.79588,2.352183,CU
Meles_leucurus,Cricetulus_migratorius,3.79588,1.585461,CU
Meles_leucurus,Cricetus_cricetus,3.79588,2.70757,CU
Meles_leucurus,Ellobius_talpinus,3.79588,1.60206,CU
Meles_leucurus,Ellobius_tancrei,3.79588,1.80956,CU
Meles_leucurus,Lagurus_lagurus,3.79588,1.307496,CU
Meles_leucurus,Microtus_gregalis,3.79588,1.676694,CU
Meles_leucurus,Microtus_socialis,3.79588,1.681241,CU
Meles_leucurus,Myodes_rutilus,3.79588,1.450249,CU
Meles_leucurus,Ondatra_zibethicus,3.79588,3.027635,CU
Meles_leucurus,Phodopus_sungorus,3.79588,1.528917,CU
Meles_leucurus,Rattus_norvegicus,3.79588,2.552303,CU
Meles_leucurus,Lepus_europaeus,3.79588,3.572872,CU
Meles_leucurus,Lepus_timidus,3.79588,3.484015,CU
Meles_leucurus,Erinaceus_roumanicus,3.79588,2.872156,CU
Meles_leucurus,Hemiechinus_auritus,3.79588,2.534026,CU
Mus_musculus,Apodemus_uralensis,1.206826,1.232996,CU
Mustela_erminea,Allocricetulus_eversmanni,2.077004,2.062958,CU
Mustela_erminea,Alticola_strelzowi,2.077004,1.69897,CU
Mustela_erminea,Arvicola_amphibius,2.077004,2.352183,CU
Mustela_erminea,Cricetulus_migratorius,2.077004,1.585461,CU
Mustela_erminea,Ellobius_talpinus,2.077004,1.60206,CU
Mustela_erminea,Ellobius_tancrei,2.077004,1.80956,CU
Mustela_erminea,Lagurus_lagurus,2.077004,1.307496,CU
Mustela_erminea,Microtus_gregalis,2.077004,1.676694,CU
Mustela_erminea,Microtus_socialis,2.077004,1.681241,CU
Mustela_erminea,Myodes_rutilus,2.077004,1.450249,CU
Mustela_erminea,Phodopus_sungorus,2.077004,1.528917,CU
Mustela_erminea,Apodemus_uralensis,2.077004,1.232996,CU
Mustela_erminea,Mus_musculus,2.077004,1.206826,CU
Mustela_eversmanii,Spermophilus_erythrogenys,3.130334,2.550228,CU
Mustela_eversmanii,Spermophilus_fulvus,3.130334,2.775246,CU
Mustela_eversmanii,Allocricetulus_eversmanni,3.130334,2.062958,CU
Mustela_eversmanii,Alticola_strelzowi,3.130334,1.69897,CU
Mustela_eversmanii,Arvicola_amphibius,3.130334,2.352183,CU
Mustela_eversmanii,Cricetulus_migratorius,3.130334,1.585461,CU
Mustela_eversmanii,Cricetus_cricetus,3.130334,2.70757,CU
Mustela_eversmanii,Ellobius_talpinus,3.130334,1.60206,CU
Mustela_eversmanii,Ellobius_tancrei,3.130334,1.80956,CU
Mustela_eversmanii,Lagurus_lagurus,3.130334,1.307496,CU
Mustela_eversmanii,Microtus_gregalis,3.130334,1.676694,CU
Mustela_eversmanii,Microtus_socialis,3.130334,1.681241,CU
Mustela_eversmanii,Myodes_rutilus,3.130334,1.450249,CU
Mustela_eversmanii,Ondatra_zibethicus,3.130334,3.027635,CU
Mustela_eversmanii,Phodopus_sungorus,3.130334,1.528917,CU
Mustela_eversmanii,Apodemus_uralensis,3.130334,1.232996,CU
Mustela_eversmanii,Mus_musculus,3.130334,1.206826,CU
Mustela_eversmanii,Rattus_norvegicus,3.130334,2.552303,CU
Mustela_eversmanii,Erinaceus_roumanicus,3.130334,2.872156,CU
Mustela_eversmanii,Hemiechinus_auritus,3.130334,2.534026,CU
Mustela_nivalis,Allocricetulus_eversmanni,2.138303,2.062958,CU
Mustela_nivalis,Alticola_strelzowi,2.138303,1.69897,CU
Mustela_nivalis,Arvicola_amphibius,2.138303,2.352183,CU
Mustela_nivalis,Cricetulus_migratorius,2.138303,1.585461,CU
Mustela_nivalis,Ellobius_talpinus,2.138303,1.60206,CU
Mustela_nivalis,Ellobius_tancrei,2.138303,1.80956,CU
Mustela_nivalis,Lagurus_lagurus,2.138303,1.307496,CU
Mustela_nivalis,Microtus_gregalis,2.138303,1.676694,CU
Mustela_nivalis,Microtus_socialis,2.138303,1.681241,CU
Mustela_nivalis,Myodes_rutilus,2.138303,1.450249,CU
Mustela_nivalis,Phodopus_sungorus,2.138303,1.528917,CU
Mustela_nivalis,Apodemus_uralensis,2.138303,1.232996,CU
Mustela_nivalis,Mus_musculus,2.138303,1.206826,CU
Otocolobus_manul,Apodemus_uralensis,3.544068,1.232996,CU
Otocolobus_manul,Rattus_norvegicus,3.544068,2.552303,CU
Otocolobus_manul,Lepus_europaeus,3.544068,3.572872,CU
Otocolobus_manul,Lepus_timidus,3.544068,3.484015,CU
Otocolobus_manul,Vulpes_corsac,3.544068,3.380211,CU
Otocolobus_manul,Allocricetulus_eversmanni,3.544068,2.062958,CU
Otocolobus_manul,Alticola_strelzowi,3.544068,1.69897,CU
Otocolobus_manul,Arvicola_amphibius,3.544068,2.352183,CU
Otocolobus_manul,Cricetulus_migratorius,3.544068,1.585461,CU
Otocolobus_manul,Cricetus_cricetus,3.544068,2.70757,CU
Otocolobus_manul,Ellobius_talpinus,3.544068,1.60206,CU
Otocolobus_manul,Ellobius_tancrei,3.544068,1.80956,CU
Otocolobus_manul,Lagurus_lagurus,3.544068,1.307496,CU
Otocolobus_manul,Microtus_gregalis,3.544068,1.676694,CU
Otocolobus_manul,Microtus_socialis,3.544068,1.681241,CU
Otocolobus_manul,Myodes_rutilus,3.544068,1.450249,CU
Otocolobus_manul,Ondatra_zibethicus,3.544068,3.027635,CU
Otocolobus_manul,Phodopus_sungorus,3.544068,1.528917,CU
Otocolobus_manul,Spermophilus_erythrogenys,3.544068,2.550228,CU
Otocolobus_manul,Spermophilus_fulvus,3.544068,2.775246,CU
Otocolobus_manul,Mustela_erminea,3.544068,2.077004,CU
Otocolobus_manul,Mustela_eversmanii,3.544068,3.130334,CU
Otocolobus_manul,Mustela_nivalis,3.544068,2.138303,CU
Otocolobus_manul,Vormela_peregusna,3.544068,2.653598,CU
Rattus_norvegicus,Apodemus_uralensis,2.552303,1.232996,CU
Rattus_norvegicus,Mus_musculus,2.552303,1.206826,CU
Sus_scrofa,Rattus_norvegicus,5.004545,2.552303,CU
Sus_scrofa,Lepus_europaeus,5.004545,3.572872,CU
Sus_scrofa,Lepus_timidus,5.004545,3.484015,CU
Ursus_arctos,Capreolus_pygargus,5.256526,4.641,CU
Ursus_arctos,Marmota_bobak,5.256526,3.740363,CU
Ursus_arctos,Spermophilus_erythrogenys,5.256526,2.550228,CU
Ursus_arctos,Spermophilus_fulvus,5.256526,2.775246,CU
Vormela_peregusna,Spermophilus_erythrogenys,2.653598,2.550228,CU
Vormela_peregusna,Spermophilus_fulvus,2.653598,2.775246,CU
Vormela_peregusna,Allocricetulus_eversmanni,2.653598,2.062958,CU
Vormela_peregusna,Alticola_strelzowi,2.653598,1.69897,CU
Vormela_peregusna,Arvicola_amphibius,2.653598,2.352183,CU
Vormela_peregusna,Cricetulus_migratorius,2.653598,1.585461,CU
Vormela_peregusna,Cricetus_cricetus,2.653598,2.70757,CU
Vormela_peregusna,Ellobius_talpinus,2.653598,1.60206,CU
Vormela_peregusna,Ellobius_tancrei,2.653598,1.80956,CU
Vormela_peregusna,Lagurus_lagurus,2.653598,1.307496,CU
Vormela_peregusna,Microtus_gregalis,2.653598,1.676694,CU
Vormela_peregusna,Microtus_socialis,2.653598,1.681241,CU
Vormela_peregusna,Myodes_rutilus,2.653598,1.450249,CU
Vormela_peregusna,Phodopus_sungorus,2.653598,1.528917,CU
Vormela_peregusna,Apodemus_uralensis,2.653598,1.232996,CU
Vormela_peregusna,Mus_musculus,2.653598,1.206826,CU
Vormela_peregusna,Rattus_norvegicus,2.653598,2.552303,CU
Vormela_peregusna,Erinaceus_roumanicus,2.653598,2.872156,CU
Vormela_peregusna,Hemiechinus_auritus,2.653598,2.534026,CU
Vulpes_corsac,Spermophilus_erythrogenys,3.380211,2.550228,CU
Vulpes_corsac,Spermophilus_fulvus,3.380211,2.775246,CU
Vulpes_corsac,Apodemus_uralensis,3.380211,1.232996,CU
Vulpes_corsac,Rattus_norvegicus,3.380211,2.552303,CU
Vulpes_corsac,Lepus_europaeus,3.380211,3.572872,CU
Vulpes_corsac,Lepus_timidus,3.380211,3.484015,CU
Vulpes_corsac,Allocricetulus_eversmanni,3.380211,2.062958,CU
Vulpes_corsac,Alticola_strelzowi,3.380211,1.69897,CU
Vulpes_corsac,Arvicola_amphibius,3.380211,2.352183,CU
Vulpes_corsac,Cricetulus_migratorius,3.380211,1.585461,CU
Vulpes_corsac,Cricetus_cricetus,3.380211,2.70757,CU
Vulpes_corsac,Ellobius_talpinus,3.380211,1.60206,CU
Vulpes_corsac,Ellobius_tancrei,3.380211,1.80956,CU
Vulpes_corsac,Lagurus_lagurus,3.380211,1.307496,CU
Vulpes_corsac,Microtus_gregalis,3.380211,1.676694,CU
Vulpes_corsac,Microtus_socialis,3.380211,1.681241,CU
Vulpes_corsac,Myodes_rutilus,3.380211,1.450249,CU
Vulpes_corsac,Ondatra_zibethicus,3.380211,3.027635,CU
Vulpes_corsac,Phodopus_sungorus,3.380211,1.528917,CU
Vulpes_corsac,Erinaceus_roumanicus,3.380211,2.872156,CU
Vulpes_corsac,Hemiechinus_auritus,3.380211,2.534026,CU
Vulpes_corsac,Otocolobus_manul,3.380211,3.544068,CU
Vulpes_vulpes,Marmota_bobak,3.725765,3.740363,CU
Vulpes_vulpes,Spermophilus_erythrogenys,3.725765,2.550228,CU
Vulpes_vulpes,Spermophilus_fulvus,3.725765,2.775246,CU
Vulpes_vulpes,Rattus_norvegicus,3.725765,2.552303,CU
Vulpes_vulpes,Lepus_europaeus,3.725765,3.572872,CU
Vulpes_vulpes,Lepus_timidus,3.725765,3.484015,CU
Vulpes_vulpes,Allocricetulus_eversmanni,3.725765,2.062958,CU
Vulpes_vulpes,Alticola_strelzowi,3.725765,1.69897,CU
Vulpes_vulpes,Arvicola_amphibius,3.725765,2.352183,CU
Vulpes_vulpes,Cricetulus_migratorius,3.725765,1.585461,CU
Vulpes_vulpes,Cricetus_cricetus,3.725765,2.70757,CU
Vulpes_vulpes,Ellobius_talpinus,3.725765,1.60206,CU
Vulpes_vulpes,Ellobius_tancrei,3.725765,1.80956,CU
Vulpes_vulpes,Lagurus_lagurus,3.725765,1.307496,CU
Vulpes_vulpes,Microtus_gregalis,3.725765,1.676694,CU
Vulpes_vulpes,Microtus_socialis,3.725765,1.681241,CU
Vulpes_vulpes,Myodes_rutilus,3.725765,1.450249,CU
Vulpes_vulpes,Ondatra_zibethicus,3.725765,3.027635,CU
Vulpes_vulpes,Phodopus_sungorus,3.725765,1.528917,CU
Vulpes_vulpes,Erinaceus_roumanicus,3.725765,2.872156,CU
