i,j,PN,CU,RW
1,2,9,9,9
1,4,367,300,367
1,5,45,42,45
1,6,27,26,27
2,6,2,2,2
4,1,21,22,21
4,2,2,2,2
4,5,29,26,29
4,6,19,16,19
5,6,2,1,1
