i,j,PN,CU,RW
1,2,15,15,15
1,4,392,392,392
1,5,178,150,178
1,6,28,0,28
2,5,2,1,2
2,6,4,0,4
4,1,21,21,21
4,2,1,1,1
4,5,68,50,68
4,6,18,0,18
5,6,9,0,9
