i,j,PN,CU,RW
1,4,69,61,69
1,5,29,10,29
1,6,9,0,9
2,5,3,1,3
2,6,1,0,1
4,1,12,12,12
4,5,14,2,14
4,6,10,0,10
5,6,3,0,3
