i,j,PN,CU,RW
1,4,407,407,407
1,5,202,146,202
1,6,31,0,31
2,5,4,3,4
2,6,3,0,3
4,1,71,71,71
4,5,66,39,66
4,6,17,0,17
5,6,9,0,9
