Scenario,Megacarnivore,Megaherbivore,Mesocarnivore,Mesoherbivore,Microcarnivore,Microherbivore
PN,2.5319148936170213,3.576923076923077,4.278846153846154,10.478048780487805,26.033492822966508,33.04306220095694
CU,0.7340425531914894,0.5989010989010989,3.019230769230769,4.614634146341463,24.574162679425836,32.20574162679426
RW,1.3351063829787233,1.1043956043956045,3.4326923076923075,6.404878048780488,25.47846889952153,32.535885167464116
