Species,ED,SE_ED
Echymipera_davidi,8.12026522201538,0.3566391877353582
Echymipera_kalubu,7.157139512158203,0.28080536676024626
Echymipera_rufescens,7.435698859899902,0.29796921248093794
Echymipera_clara,10.01998048063965,0.38826919003046345
Echymipera_echinista,7.399448524212646,0.3274654463865257
Microperoryctes_aplini,10.714261444042968,0.3616060678412464
Microperoryctes_longicauda,7.485453075671387,0.26383681075296306
Microperoryctes_papuensis,7.607234954833984,0.26086132093840214
Microperoryctes_murina,8.380509301916504,0.34759859668033627
Rhynchomeles_prattorum,16.599291392578124,0.3128751908013338
Peroryctes_broadbenti,10.700608427880859,0.3495972787035844
Peroryctes_spA,10.413107109570312,0.3837775666717518
Peroryctes_raffrayana,10.342736646533202,0.35398285394818446
PeroryctinaeGen_spA,19.117929083984375,0.2860831779298457
Isoodon_obesulus,10.456563300097656,0.3257043029720741
Isoodon_auratus,9.851159876171875,0.25470930846161144
Isoodon_macrourus,14.848266141699218,0.3365383748354485
Perameles_bougainville,12.426998033007813,0.312487182536644
Perameles_eremiana,12.929162888183594,0.3561319033783605
Perameles_nasuta,10.177014298388672,0.3086319769385689
Perameles_gunnii,10.177014298388672,0.3086319769385689
Macrotis_lagotis,21.063451937499998,0.49917275879108153
Macrotis_leucura,21.063451937499998,0.49917275879108153
Chaeropus_ecaudatus,32.755248278125,0.4408837322482134
Notoryctes_caurinus,36.3066015625,0
Notoryctes_typhlops,36.3066015625,0
Cercartetus_caudatus,30.8814532453125,0.14595665957266415
Cercartetus_concinnus,21.91742422265625,0.14017130484914825
Cercartetus_lepidus,15.769794911328125,0.15046834649791696
Cercartetus_nanus,15.769794911328125,0.15046834649791696
Burramys_parvus,41.959150390625,0
Spilocuscus_maculatus,6.373492762377929,0.2628558284514452
Spilocuscus_kraemeri,6.577077218499756,0.30006799438541687
Spilocuscus_papuensis,7.225675857305908,0.3407131560563104
Spilocuscus_rufoniger,6.670295171105957,0.2593310894754079
Spilocuscus_wilsoni,6.928289820104981,0.2899816698090199
Phalanger_sericeus,7.0126628245346065,0.22764629275291992
Phalanger_carmelitae,4.521950456297493,0.14396132440276094
Phalanger_mimicus,2.9661629083135606,0.13267705644931482
Phalanger_orientalis,2.8677138301408767,0.12737862101565212
Phalanger_intercastellanus,2.8039639047080995,0.12067758828672284
Phalanger_rothschildi,5.943642078645325,0.2676482795215383
Phalanger_matabiru,5.729385302113914,0.2627009454849235
Phalanger_alexandrae,6.018083171021652,0.2843927187733447
Phalanger_vestitus,5.249493230482101,0.15731397327608576
Phalanger_gymnotis,7.099013093832397,0.22969022858975002
Phalanger_lullulae,6.451861286421203,0.1891296028886883
Phalanger_matanim,7.789068078668213,0.21663132408512528
Phalanger_ornatus,7.789068078668213,0.21663132408512528
Strigocuscus_pelengensis,14.969712872070312,0.23081948239379768
Strigocuscus_celebensis,15.58530412265625,0.15465016718046437
Ailurops_ursinus,9.683273511328125,0.18805273389288785
Ailurops_melanotis,9.683273511328125,0.18805273389288785
Trichosurus_caninus,9.087956363964844,0.2647687967466896
Trichosurus_vulpecula,9.255101690917968,0.2968141017566366
Trichosurus_cunninghami,9.226861490429688,0.3198289114745311
Wyulda_squamicaudata,21.0039686453125,0.14136912645732286
Procoptodon_goliah,3.0111602577758787,0.1401409779568338
Procoptodon_gilli,3.0111602577758787,0.1401409779568338
Procoptodon_browneorum,4.478656215551758,0.17357286414053755
Simosthenurus_occidentalis,4.275325965551758,0.15295892215586002
Simosthenurus_maddocki,4.275325965551758,0.15295892215586002
Simosthenurus_pales,8.879299162207031,0.19142187085818738
Metasthenurus_newtonae,12.107639224414063,0.16104613018445352
Sthenurus_stirlingi,5.270524006103516,0.15762494269657185
Sthenurus_tindalei,5.270524006103516,0.15762494269657185
Sthenurus_atlas,8.225082112207032,0.1803344444228021
Sthenurus_andersoni,11.917566824414063,0.1570406292704524
Lagostrophus_fasciatus,12.185392474414062,0.17826033382661036
Troposodon_minor,11.970543704931641,0.1797068064365953
Onychogalea_fraenata,8.605428597564698,0.25564954329095196
Onychogalea_lunata,6.97950598694458,0.20136839492760544
Onychogalea_unguifera,8.224551363269043,0.24169480008045277
Macropus_irma,3.7775373776258467,0.18244378118505453
Macropus_rufogriseus,2.774826952720976,0.15030136822675247
Macropus_eugenii,1.448935406631887,0.0975249327137899
Macropus_agilis,1.429009964001286,0.09882022377669139
Macropus_parryi,1.4859611341494678,0.0870479965116858
Macropus_greyi,1.1981794318122416,0.09303850913872243
Macropus_parma,0.9733220690887541,0.05876053743220346
Macropus_dorsalis,1.0025085530572175,0.06293752761744628
Wallabia_bicolor,3.6047568077732084,0.16925564971876153
Wallabia_kitcheneri,3.6047568077732084,0.16925564971876153
Macropus_antilopinus,2.0136973346550224,0.11868730058318944
Macropus_robustus,2.0136973346550224,0.11868730058318944
Macropus_rufus,2.905705569310045,0.1471091664007847
Macropus_bernardus,3.9880538386200906,0.17283714044156856
Macropus_giganteus,3.86030250702343,0.20615818914385545
Macropus_ferragus,3.406827918294334,0.17547140678406434
Macropus_fuliginosus,3.503478759382248,0.18463886777557734
Macropus_pearsoni,3.6177758826257707,0.1893668218454164
Lagorchestes_conspicillatus,4.183034500417709,0.17788093141718442
Lagorchestes_leporides,4.460227915396119,0.2039856923514523
Lagorchestes_hirsutus,4.487210362669373,0.19497821930780418
Lagorchestes_asomatus,4.235986807370376,0.18448758553614006
Setonix_brachyurus,9.30693519668579,0.19109153951723237
Thylogale_stigmatica,4.109844773743057,0.17299060419933676
Thylogale_lanatus,2.9001707256150246,0.14306304585983917
