Size,Web,Ecozone,Scenario,Proportion,Area
Megaherbivore,118,NT,PN,5,Protected
Mesocarnivore,118,NT,PN,6,Protected
Mesoherbivore,118,NT,PN,13,Protected
Microcarnivore,118,NT,PN,21,Protected
Microherbivore,118,NT,PN,30,Protected
Megacarnivore,119,AT,PN,3,Protected
Megaherbivore,119,AT,PN,3,Protected
Mesocarnivore,119,AT,PN,9,Protected
Mesoherbivore,119,AT,PN,20,Protected
Microcarnivore,119,AT,PN,40,Protected
Microherbivore,119,AT,PN,41,Protected
Megacarnivore,120,AT,PN,3,Protected
Megaherbivore,120,AT,PN,4,Protected
Mesocarnivore,120,AT,PN,7,Protected
Mesoherbivore,120,AT,PN,19,Protected
Microcarnivore,120,AT,PN,40,Protected
Microherbivore,120,AT,PN,38,Protected
Megacarnivore,121,AT,PN,3,Protected
Megaherbivore,121,AT,PN,5,Protected
Mesocarnivore,121,AT,PN,8,Protected
Mesoherbivore,121,AT,PN,17,Protected
Microcarnivore,121,AT,PN,38,Protected
Microherbivore,121,AT,PN,38,Protected
Megacarnivore,122,NT,PN,3,Protected
Megaherbivore,122,NT,PN,7,Protected
Mesocarnivore,122,NT,PN,8,Protected
Mesoherbivore,122,NT,PN,17,Protected
Microcarnivore,122,NT,PN,34,Protected
Microherbivore,122,NT,PN,49,Protected
Megacarnivore,123,NT,PN,3,Protected
Megaherbivore,123,NT,PN,4,Protected
Mesocarnivore,123,NT,PN,5,Protected
Mesoherbivore,123,NT,PN,11,Protected
Microcarnivore,123,NT,PN,34,Protected
Microherbivore,123,NT,PN,55,Protected
Megacarnivore,124,NT,PN,3,Protected
Megaherbivore,124,NT,PN,9,Protected
Mesocarnivore,124,NT,PN,7,Protected
Mesoherbivore,124,NT,PN,17,Protected
Microcarnivore,124,NT,PN,30,Protected
Microherbivore,124,NT,PN,39,Protected
Megacarnivore,125,NT,PN,3,Protected
Megaherbivore,125,NT,PN,6,Protected
Mesocarnivore,125,NT,PN,7,Protected
Mesoherbivore,125,NT,PN,13,Protected
Microcarnivore,125,NT,PN,35,Protected
Microherbivore,125,NT,PN,52,Protected
Megacarnivore,126,NT,PN,3,Protected
Megaherbivore,126,NT,PN,4,Protected
Mesocarnivore,126,NT,PN,7,Protected
Mesoherbivore,126,NT,PN,13,Protected
Microcarnivore,126,NT,PN,30,Protected
Microherbivore,126,NT,PN,46,Protected
Megacarnivore,127,NT,PN,3,Protected
Megaherbivore,127,NT,PN,9,Protected
Mesocarnivore,127,NT,PN,7,Protected
Mesoherbivore,127,NT,PN,17,Protected
Microcarnivore,127,NT,PN,27,Protected
Microherbivore,127,NT,PN,45,Protected
Megacarnivore,128,NT,PN,3,Protected
Megaherbivore,128,NT,PN,4,Protected
Mesocarnivore,128,NT,PN,5,Protected
Mesoherbivore,128,NT,PN,8,Protected
Microcarnivore,128,NT,PN,44,Protected
Microherbivore,128,NT,PN,67,Protected
Megacarnivore,129,NT,PN,3,Protected
Megaherbivore,129,NT,PN,4,Protected
Mesocarnivore,129,NT,PN,5,Protected
Mesoherbivore,129,NT,PN,12,Protected
Microcarnivore,129,NT,PN,35,Protected
Microherbivore,129,NT,PN,56,Protected
Megacarnivore,130,NT,PN,3,Protected
Megaherbivore,130,NT,PN,6,Protected
Mesocarnivore,130,NT,PN,7,Protected
Mesoherbivore,130,NT,PN,15,Protected
Microcarnivore,130,NT,PN,35,Protected
Microherbivore,130,NT,PN,57,Protected
Megacarnivore,131,NT,PN,3,Protected
Megaherbivore,131,NT,PN,9,Protected
Mesocarnivore,131,NT,PN,5,Protected
Mesoherbivore,131,NT,PN,18,Protected
Microcarnivore,131,NT,PN,24,Protected
Microherbivore,131,NT,PN,35,Protected
Megacarnivore,132,NT,PN,3,Protected
Megaherbivore,132,NT,PN,4,Protected
Mesocarnivore,132,NT,PN,6,Protected
Mesoherbivore,132,NT,PN,14,Protected
Microcarnivore,132,NT,PN,30,Protected
Microherbivore,132,NT,PN,46,Protected
Megacarnivore,133,NT,PN,3,Protected
Megaherbivore,133,NT,PN,6,Protected
Mesocarnivore,133,NT,PN,6,Protected
Mesoherbivore,133,NT,PN,12,Protected
Microcarnivore,133,NT,PN,28,Protected
Microherbivore,133,NT,PN,44,Protected
Megacarnivore,134,NT,PN,3,Protected
Megaherbivore,134,NT,PN,8,Protected
Mesocarnivore,134,NT,PN,7,Protected
Mesoherbivore,134,NT,PN,13,Protected
Microcarnivore,134,NT,PN,26,Protected
Microherbivore,134,NT,PN,34,Protected
Megacarnivore,135,NT,PN,4,Protected
Megaherbivore,135,NT,PN,6,Protected
Mesocarnivore,135,NT,PN,5,Protected
Mesoherbivore,135,NT,PN,12,Protected
Microcarnivore,135,NT,PN,53,Protected
Microherbivore,135,NT,PN,87,Protected
Megacarnivore,136,NT,PN,3,Protected
Megaherbivore,136,NT,PN,7,Protected
Mesocarnivore,136,NT,PN,6,Protected
Mesoherbivore,136,NT,PN,17,Protected
Microcarnivore,136,NT,PN,29,Protected
Microherbivore,136,NT,PN,37,Protected
Megacarnivore,137,NT,PN,3,Protected
