term,estimate,conf.low,conf.high,tau
(Intercept),0.896200055174002,0.4235447635079995,1.1598384149712395,0.1
`Pred Mass`,0.09240244092776201,-0.0500367908978675,0.21963421696635108,0.1
(Intercept),0.5126372318858271,0.2348107516290713,0.7170189012876891,0.9
`Pred Mass`,0.90633804035133,0.8545900093512683,0.9730600602195865,0.9
