Par,mean(Init),mean(Final),sd(Init),sd(Final)
center,25.344632778598463,0.6798758655712528,22.394926559770205,2.7921617306041894e-7
radius,24.090053610873873,0.5176232856916999,22.22724922823396,3.3430851806884716e-7
